x,y,z
0.603582807081774,0.7516774128782321,0.3022136669219272
0.0038159440582050674,0.06396343907608137,0.9759975638982614
0.9979393666123675,0.03494081423628714,0.9704339068096293
0.00038633608550608933,0.0808448413473214,0.046009633907301284
0.013542165556053587,0.9729412151808068,0.9827704151743366
0.9536549542465962,0.012088602097869328,0.01208361470289343
0.9975059362016155,0.8974101532790606,0.9642523029984251
0.014972054872919527,0.9727573093172928,0.0780944754606
0.49652187389116476,0.13628996935414783,0.5404983227284432
0.008842232164440245,0.5096097701735834,0.4598862309246968
0.44998759546916345,0.5846622672431462,0.924201739620953
0.9985995888558638,0.36948561989373596,0.532212393401927
0.9977271476151117,0.9911524105986668,0.028306229271575556
0.5115982471256438,0.32683162619257033,0.006994235874786092
0.19846032357056453,0.9420631676239769,0.5394751478198335
0.9587979059674646,0.4760506513090207,0.06889680797799802
0.53614830391997,0.038157725477130255,0.9973914843609186
0.006985005043764536,0.5164446850882571,0.941714943847858
0.9405352551390836,0.9444689250293011,0.5237900099321111
0.01687402523181325,0.0429982003209638,0.488545764077441
0.5838843259633959,0.9924256662514737,0.8368359697215196
0.8668889781319694,0.47083015481192014,0.9304125467226222
0.11946780848434513,0.5227771231548332,0.046885650793400346
0.8629847971303454,0.009119488064468495,0.5234845560007448
0.6096050867900303,0.9934609377981627,0.004832085772237593
0.6541315488713206,0.5057560200749008,0.6085141736915117
0.4721814943189151,9.421573057233346e-05,0.18561706669660882
0.22011883751936978,0.3113233907876337,0.7167485703101317
0.36214167763518745,0.49995079528231756,0.38893236075751136
0.7136218011259968,0.28492320798201143,0.3069894147749047
0.32538489761092837,0.8185497514235236,0.11523817086311061
0.17508838133871274,0.24074576128799607,0.2765769212644872
0.7548984151678176,0.19529823705277716,0.772353995354749
0.5232667064959133,0.9963118144101648,0.4995707658373417
0.294140668743739,0.001221768980953497,0.7607803244580991
0.19554159273663974,0.7048194704942533,0.7566441417056718
0.9197148236252114,0.7067561927571762,0.3004611420565333
0.9415847468366418,0.6607244745008345,0.6670005362736133
0.6193783171743937,0.6496820357138118,0.016398598182301494
0.08058230665676724,0.77761520473832,0.29660575413093626
0.2968110926117058,0.8517798115858723,0.9931330721040194
0.46913782026135653,0.740977827205312,0.6534910253559422
0.9940165169006493,0.21116589121766938,0.2584389904577513
